fecha_ho_1,fecha_no,latitud,longitud,geometry
2020-11-18,2022-01-23,6.2973013388389205,-75.5519820006989,POINT (-75.5519820006989 6.297301338838921)
2022-02-06,2021-11-02,6.252956858346154,-75.63031395024066,POINT (-75.63031395024066 6.252956858346154)
2022-04-01,2024-07-25,6.276717659999971,-75.603618446,POINT (-75.603618446 6.276717659999971)
2022-03-05,2021-03-29,6.288722322720263,-75.65010582467433,POINT (-75.65010582467433 6.288722322720263)
2022-04-01,2018-02-08,6.265217694999991,-75.540710442,POINT (-75.540710442 6.265217695)
2022-04-04,2021-02-16,6.268626,-75.6568765,POINT (-75.6568765 6.268626)
2022-04-01,2017-01-03,6.2885459277901425,-75.53903556284003,POINT (-75.53903556284003 6.288545927790143)
2022-04-20,2020-08-05,6.35597,-75.696668,POINT (-75.696668 6.35597)
2022-03-27,2021-10-25,6.287012237999991,-75.597031694,POINT (-75.597031694 6.287012238)
2022-04-04,2017-09-03,6.18537928299997,-75.67243002700002,POINT (-75.67243002700002 6.18537928299997)
2022-04-04,2024-02-03,6.281497066105928,-75.5374146564344,POINT (-75.5374146564344 6.281497066105928)
2022-04-05,2017-01-08,6.272242536000021,-75.617432266,POINT (-75.617432266 6.272242536000021)
2022-04-04,2016-01-22,6.271880856999991,-75.613042918,POINT (-75.613042918 6.271880857)
2022-04-05,2021-06-08,6.2614015,-75.6164442,POINT (-75.6164442 6.2614015)
2022-04-05,2024-01-05,6.265013915795492,-75.634921176243,POINT (-75.634921176243 6.265013915795492)
2022-04-05,2022-10-22,6.2699617860000085,-75.635857829,POINT (-75.635857829 6.269961786)
2022-04-05,2022-10-30,6.267891216364684,-75.62401233625485,POINT (-75.62401233625485 6.267891216364684)
2022-04-05,2019-09-22,6.246434429460786,-75.63282106386733,POINT (-75.63282106386733 6.246434429460786)
2022-04-01,2016-05-03,6.275925895,-75.606815674,POINT (-75.606815674 6.275925895)
2022-04-05,2020-06-25,6.266450129753426,-75.6200656880932,POINT (-75.6200656880932 6.266450129753426)
2022-04-05,2018-02-01,6.27742335519463,-75.60908887970167,POINT (-75.60908887970167 6.27742335519463)
2022-04-05,2024-03-23,6.270357616332457,-75.61680246246354,POINT (-75.61680246246354 6.270357616332457)
2022-04-05,2017-08-17,6.248651982450837,-75.62606255824463,POINT (-75.62606255824463 6.248651982450837)
2022-04-05,2017-06-02,6.269969689613421,-75.62950050804116,POINT (-75.62950050804116 6.269969689613421)
2022-04-05,2021-11-06,6.264529,-75.612807,POINT (-75.612807 6.264529)
2022-04-05,2016-01-16,6.266546135000001,-75.613741149,POINT (-75.613741149 6.266546135)
2022-04-05,2021-05-25,6.267234884,-75.614615396,POINT (-75.614615396 6.267234884)
2022-04-06,2018-05-23,6.19944296466005,-75.59348698212082,POINT (-75.59348698212082 6.19944296466005)
2022-04-05,2021-06-07,6.268647645534294,-75.62676288442533,POINT (-75.62676288442533 6.268647645534294)
2022-04-05,2020-11-07,6.2678919,-75.62465,POINT (-75.62465 6.2678919)
2022-04-05,2022-12-06,6.22949337599999,-75.530122346,POINT (-75.530122346 6.229493376)
2021-11-08,2022-06-17,6.3321806428142935,-75.70575560907835,POINT (-75.70575560907835 6.332180642814293)
2022-04-05,2022-07-19,6.280326605669563,-75.5405126571198,POINT (-75.5405126571198 6.280326605669563)
2022-04-01,2018-03-24,6.279645736000021,-75.613175876,POINT (-75.613175876 6.279645736000021)
2022-04-07,2017-06-01,6.296399922594832,-75.59721231963168,POINT (-75.59721231963168 6.296399922594832)
2022-05-19,2021-07-14,6.267101015902207,-75.62132009002272,POINT (-75.62132009002272 6.267101015902207)
2020-04-01,2017-10-29,6.28319915200001,-75.652692245,POINT (-75.652692245 6.28319915200001)
2022-04-05,2018-06-20,6.273977061020222,-75.62693104607177,POINT (-75.62693104607177 6.273977061020222)
2022-04-07,2017-01-10,6.301310581397664,-75.55021624675831,POINT (-75.55021624675831 6.301310581397664)
2022-04-07,2021-01-12,6.322910084837512,-75.6918888280108,POINT (-75.6918888280108 6.322910084837512)
2022-04-07,2019-05-29,6.248957734501906,-75.62994245091355,POINT (-75.62994245091355 6.248957734501906)
2022-04-04,2024-11-11,6.2528764549999805,-75.626870079,POINT (-75.626870079 6.25287645499998)
2022-04-07,2018-09-30,6.17262809504016,-75.65150013398444,POINT (-75.65150013398444 6.17262809504016)
2022-04-07,2021-11-02,6.2227576027696445,-75.56699381496271,POINT (-75.56699381496271 6.222757602769645)
2021-12-27,2016-06-08,6.2675035387271025,-75.62889958512365,POINT (-75.62889958512365 6.267503538727103)
2022-04-07,2021-06-24,6.273088820583757,-75.5395398304488,POINT (-75.5395398304488 6.273088820583757)
2022-04-08,2021-03-13,6.2003832439127775,-75.59478951130004,POINT (-75.59478951130004 6.200383243912778)
2022-04-01,2022-08-24,6.30341182000001,-75.658483096,POINT (-75.658483096 6.30341182)
2022-04-07,2016-06-06,6.201625664612583,-75.59240845388103,POINT (-75.59240845388103 6.201625664612583)
2022-03-31,2016-02-09,6.272206304000011,-75.596921773,POINT (-75.596921773 6.272206304000011)
2022-04-05,2016-06-05,6.297063345722981,-75.6470996816282,POINT (-75.6470996816282 6.297063345722981)
2022-04-07,2022-10-04,6.270105385182424,-75.6238737538952,POINT (-75.6238737538952 6.270105385182424)
2022-04-04,2019-05-23,6.2696006,-75.6542029,POINT (-75.6542029 6.2696006)
2022-04-18,2021-10-04,6.2546423,-75.6288101,POINT (-75.62881010000001 6.2546423)
2022-04-18,2019-01-12,6.28765371465448,-75.54357805926965,POINT (-75.54357805926965 6.28765371465448)
2022-05-23,2020-10-20,6.18126511100002,-75.662353448,POINT (-75.662353448 6.18126511100002)
2022-04-05,2019-04-30,6.237587296743266,-75.51106781083001,POINT (-75.51106781083001 6.237587296743266)
2022-04-22,2018-05-02,6.260012346999989,-75.621835981,POINT (-75.621835981 6.260012346999989)
2022-03-06,2020-12-21,6.273206205000009,-75.614442555,POINT (-75.614442555 6.273206205)
2022-04-23,2019-12-19,6.27541028899998,-75.652753282,POINT (-75.652753282 6.27541028899998)
2021-06-26,2020-04-26,6.287691841702572,-75.59939191699553,POINT (-75.59939191699553 6.287691841702572)
2022-03-01,2024-05-13,6.272619914926697,-75.54296789460864,POINT (-75.54296789460864 6.272619914926697)
2022-04-26,2023-05-11,6.276238955718439,-75.54125695342071,POINT (-75.54125695342071 6.276238955718439)
2022-04-07,2021-09-07,6.330282,-75.696183,POINT (-75.696183 6.330282)
2022-05-04,2018-06-23,6.22423439627319,-75.67210410316135,POINT (-75.67210410316135 6.22423439627319)
2022-04-07,2019-09-07,6.35791,-75.696018,POINT (-75.696018 6.35791)
2022-05-05,2022-10-31,6.191189573829904,-75.66296665898071,POINT (-75.66296665898071 6.191189573829904)
2022-05-07,2020-03-31,6.303657268999979,-75.544288733,POINT (-75.544288733 6.303657268999979)
2022-05-07,2019-11-23,6.231747050000019,-75.562826023,POINT (-75.562826023 6.231747050000019)
2022-05-07,2019-09-10,6.229143669562549,-75.56016663776137,POINT (-75.56016663776137 6.229143669562549)
2022-05-07,2020-11-12,6.229692242660546,-75.56668235255707,POINT (-75.56668235255707 6.229692242660546)
2022-05-08,2020-06-02,6.278496484078132,-75.64364377265126,POINT (-75.64364377265126 6.278496484078132)
2020-11-15,2022-06-16,6.36149833,-75.69327103,POINT (-75.69327103 6.36149833)
2022-05-09,2016-06-09,6.2435254470682455,-75.61541523457335,POINT (-75.61541523457335 6.243525447068246)
2022-05-06,2020-05-13,6.19680902599998,-75.679782228,POINT (-75.679782228 6.19680902599998)
2022-05-10,2016-06-01,6.2744880527028615,-75.65053967334421,POINT (-75.65053967334421 6.274488052702861)
